first_name,middle_name,last_name,sex,birth_date,birth_city,birth_country,death_date,death_city,death_country
Eric,Chase,Tucker,M,1742-01-20,Steelechester,Peru,1772-11-05,Port Travis,Luxembourg
John,Meghan,Martinez,F,1740-09-30,Hendricksbury,North Macedonia,1778-10-22,Medinastad,Norfolk Island
Daniel,Katie,Greer,M,1738-10-08,South Lindsey,Costa Rica,1781-09-29,Lake Bianca,India
Alex,Timothy,Smith,M,1699-11-13,Lake Joe,Luxembourg,1845-07-17,Brianland,Hong Kong
Nicholas,Daniel,Holmes,M,1771-05-15,Pattersonville,Paraguay,1870-02-24,Reedfurt,Guam
Gregory,John,Williams,M,1683-03-11,New Mariaberg,Finland,1773-10-31,Willieshire,Saint Pierre and Miquelon
John,Jasmine,Jackson,M,1699-04-10,Sheltonmouth,Venezuela,1740-07-07,Theresaville,Zambia
Juan,Cindy,Lopez,F,1754-06-25,New Zachary,Moldova,1883-10-15,Amandastad,Guinea-Bissau
David,Jacqueline,Vaughan,F,1712-05-14,Latoyaland,Guernsey,1819-03-17,South Teresaside,Cameroon
Randy,Kimberly,Ramos,M,1750-06-05,East Joseph,Montenegro,1848-09-04,South Margarettown,Canada
Juan,Sara,Davis,F,1762-01-07,Garciaborough,Belize,1846-01-17,Mariaborough,Congo
Jeffrey,Zachary,Haley,M,1724-11-01,North Ryanhaven,Tajikistan,1836-01-20,Lake Rebecca,Belize
John,Christopher,King,F,1721-07-15,Port Rose,Kenya,1826-08-19,Welchport,South Georgia and the South Sandwich Islands
Albert,Carolyn,Thompson,F,1684-08-13,West Amber,Finland,1791-11-09,Kaylamouth,Sri Lanka
Michael,Craig,Garcia,M,1771-03-06,East Haroldshire,Madagascar,1874-09-05,Lake Raymondland,Nepal
Christopher,Brent,Bradley,F,1720-03-08,Susanfort,Singapore,1829-09-09,Port Amanda,Niger
Kevin,Yesenia,Mitchell,F,1678-09-11,Gainesview,Heard Island and McDonald Islands,1826-07-20,Lake Dawnbury,Dominica
Robert,Heather,Griffin,F,1683-07-21,Stephanieborough,Northern Mariana Islands,1707-08-13,West Jeremyborough,French Southern Territories
Johnathan,Lauren,Morales,M,1741-01-27,North Jeffstad,South Africa,1817-05-27,East Jeffrey,Serbia
Andrew,Anthony,Dickson,M,1714-11-09,Rachelstad,Syrian Arab Republic,1781-06-15,South Lindsey,French Southern Territories
David,Anthony,Perez,M,1758-09-27,Villanuevaborough,Antigua and Barbuda,1857-11-22,New Holly,Guyana
Harold,Jeremiah,Lee,F,1740-01-12,East Lucas,Togo,1757-10-07,Sherrytown,Congo
Michael,Jason,Palmer,M,1694-04-26,Port Monica,Macao,1727-12-26,North Michelle,Botswana
Shane,Mathew,Hernandez,F,1718-02-04,Port Johnborough,Puerto Rico,1860-05-22,West Amandaville,Qatar
Andrew,Alexander,Porter,M,1697-01-25,Hawkinsberg,Netherlands Antilles,1812-04-23,New Michaelhaven,Cayman Islands
Randy,Gary,Gates,F,1688-01-02,Jacksonbury,Slovakia (Slovak Republic),1770-11-14,Lopezville,Marshall Islands
Andrew,Nicholas,Hobbs,F,1712-05-18,Port Kyleborough,Eritrea,1733-01-07,Lake Jeffrey,Korea
Joseph,Yvonne,Fernandez,F,1732-05-21,Port Jessica,Argentina,1746-11-10,Lake Meganmouth,Paraguay
Gerald,Corey,Flores,M,1716-04-12,New Lee,Lithuania,1843-04-09,Joelhaven,Egypt
Gerald,Bryce,Morales,F,1755-12-13,Lake Pamelaland,Canada,1801-02-27,Englishborough,Nauru
Richard,Antonio,Steele,M,1756-10-02,Wellsview,French Southern Territories,1806-08-15,Port Sandra,Burundi
Jackson,Beverly,Garcia,M,1673-06-01,Lake Pam,Italy,1751-05-24,Haleybury,Togo
Patrick,Cody,Gallagher,M,1742-11-10,Robertbury,Iraq,1785-03-16,North Haley,Greece
Robert,Michelle,Carpenter,M,1684-09-28,Lake Randyland,Benin,1815-04-19,Tinashire,French Guiana
Stanley,Sonia,Drake,F,1741-11-30,Lake Christine,Jersey,1786-06-26,Proctorview,Zambia
Jason,Frank,Mccoy,M,1771-12-30,New Ryan,Denmark,1866-11-12,Paulshire,Greenland
Gene,Crystal,Jones,F,1698-08-04,South Brandonstad,Armenia,1792-09-12,Jamesfurt,Belize
Frank,Steven,Russell,M,1753-08-18,Lake Dalton,Bahrain,1833-08-27,North Raymondview,Croatia
Christopher,Caroline,Smith,M,1709-08-12,Millerstad,Gambia,1846-10-18,Paceland,Aruba
Dean,Pamela,Garcia,M,1770-10-22,Langchester,Cambodia,1794-01-22,Michaelfort,Sweden
Austin,Troy,Olson,M,1717-04-19,Port Allisonmouth,Jordan,1799-12-15,Lisamouth,Iraq
Robert,Nicole,Smith,F,1711-05-10,Lake Kelsey,Thailand,1796-10-06,Morganmouth,Gambia
Robert,Erin,Adams,M,1679-11-12,West Kimberly,Mayotte,1743-01-17,East Andrea,American Samoa
Douglas,Gregory,Krause,F,1708-01-25,Lake Kristen,Dominica,1756-05-02,North Brian,Nicaragua
William,Oscar,Wade,M,1765-11-19,East Jacqueline,Burundi,1846-09-10,Claudiatown,United Arab Emirates
Dan,Alexander,Ford,F,1676-06-21,Cameronberg,Zimbabwe,1758-01-04,East Angela,Kyrgyz Republic
Mark,Justin,Mcguire,M,1737-07-31,New Daniellestad,Palestinian Territory,1865-10-14,South Amandamouth,Saint Barthelemy
Mark,Carl,Bruce,M,1706-01-03,East Stephanieton,Gambia,1807-07-01,Nathanburgh,Angola
Matthew,Kim,Valenzuela,M,1768-09-27,Christinafort,Thailand,1907-07-06,South Edwardhaven,Nicaragua
Sean,Barbara,Ortiz,M,1683-04-18,Melissastad,Rwanda,1707-11-30,Kyliemouth,Guinea
John,Jennifer,Ayala,F,1732-07-09,North Shaneland,Nicaragua,1818-04-29,Jessicaton,Sierra Leone
Martin,Christopher,Hunter,F,1725-04-13,Theresachester,Syrian Arab Republic,1815-11-24,New Kristopher,Mayotte
Joe,John,Patel,F,1683-10-12,East Richardville,Nauru,1790-02-23,Deborahbury,Pakistan
Cory,Laura,Hammond,M,1761-01-24,Sanchezburgh,Kyrgyz Republic,1835-05-19,Robertshire,Ethiopia
Kevin,Rodney,Chapman,F,1768-02-19,East Kristinafort,Hong Kong,1859-10-18,North Noah,Brazil
Keith,Thomas,Case,F,1758-05-20,North Jamesburgh,Burundi,1865-06-15,Lake Courtney,India
Ronald,Ashley,Harrington,M,1732-08-04,Lake Sandra,Western Sahara,1869-04-01,Goodmantown,Oman
Robert,Ashley,Bowman,M,1755-09-01,Lake Briantown,Albania,1761-07-12,Evelynfort,Jordan
David,Margaret,Smith,M,1687-11-06,Moralesburgh,Nicaragua,1729-03-05,Hallland,Turkmenistan
Carlos,Elizabeth,Buckley,F,1698-03-29,Kellyberg,France,1720-07-09,Milesberg,Western Sahara
Charles,Joshua,Sexton,M,1741-06-04,Kathrynfurt,Sierra Leone,1880-11-07,West Carloston,Switzerland
Joseph,Jason,Beck,F,1755-04-10,Lake Beth,Serbia,1843-07-13,West Timothy,Costa Rica
Jesse,Jennifer,Olsen,M,1727-12-05,Farrellland,Macao,1875-03-03,South Anthonyshire,Seychelles
Tony,Justin,Morrow,F,1714-04-22,East Shelby,Equatorial Guinea,1812-11-10,Stephaniechester,Cayman Islands
John,Bethany,Lopez,M,1727-11-02,Thomasport,Wallis and Futuna,1852-01-20,Lake John,Vietnam
Patrick,John,Baldwin,F,1687-11-06,Caseyberg,Ethiopia,1704-05-01,Jonesburgh,Israel
Edward,Lisa,Baker,M,1737-09-15,West Austin,Armenia,1819-03-17,Port Derek,Costa Rica
Brett,Marc,Davis,M,1694-06-21,Christopherburgh,Vietnam,1785-07-07,Andreachester,India
Marcus,Derek,Bishop,M,1681-06-05,East Amanda,Niue,1810-12-08,Lake Johnmouth,Belize
Ryan,Dawn,Aguilar,M,1747-04-19,Marksville,Afghanistan,1855-12-14,North Gabrielafort,Lesotho
Michael,Ashley,Baker,F,1698-12-25,South Karabury,Isle of Man,1758-04-27,Andrewshire,Luxembourg
Nathan,Elizabeth,Diaz,M,1685-11-02,West Johnny,Venezuela,1771-02-28,Zhangton,Antarctica (the territory South of 60 deg S)
Louis,Alicia,Wood,M,1733-05-08,Emilymouth,Lebanon,1751-07-25,Frenchburgh,Cambodia
Aaron,Nathan,Davis,F,1687-07-10,West Christian,Honduras,1761-06-29,Barnettstad,Paraguay
Michael,Brian,Moore,M,1688-01-06,Port Scott,Cayman Islands,1794-11-15,Jamesberg,Holy See (Vatican City State)
Tommy,Jessica,Ray,F,1723-02-15,East Elizabeth,Sao Tome and Principe,1749-01-28,Lake Daniel,Bhutan
Vincent,Victoria,Rogers,F,1696-02-27,Susantown,Vietnam,1749-06-10,South Deborah,Cyprus
James,Bradley,Schaefer,M,1731-11-17,Jamesfort,Malta,1755-12-06,Caldwelltown,Uruguay
Michael,Adam,Sullivan,F,1763-07-24,Lake Rodneyport,Papua New Guinea,1866-03-05,East Carlos,Maldives
Samuel,Melissa,Hodge,M,1702-06-08,Burtonfurt,Isle of Man,1742-05-03,North Alicia,Niger
Samuel,Sarah,Tucker,F,1688-03-13,Alisonview,Mayotte,1729-11-30,Williamland,Romania
David,Brittany,Colon,M,1700-12-15,Port Lindsay,Pitcairn Islands,1730-07-08,Franklinland,Malta
Kevin,Katherine,Collins,F,1690-06-17,Olsonburgh,Cote d'Ivoire,1819-08-15,Lake Mariamouth,Serbia
Kenneth,Gregory,Hunter,F,1737-01-15,East Amberside,Argentina,1854-09-15,Grossview,Northern Mariana Islands
Wesley,Rachel,House,F,1699-06-23,South Joshuamouth,France,1842-02-07,Erinburgh,Liberia
Andrew,John,Russell,F,1762-02-26,Baileyside,Jamaica,1907-05-05,Davishaven,British Indian Ocean Territory (Chagos Archipelago)
William,Lisa,Bailey,F,1764-07-25,North Ryanport,Congo,1825-02-08,Donaldview,Fiji
Christopher,Shannon,Fletcher,F,1748-03-30,East Felicia,Burundi,1896-04-20,South Sydneyland,Saudi Arabia
Samuel,Michele,Ramos,F,1741-12-21,North Laura,Sierra Leone,1845-11-10,New Jessemouth,Dominica
Christopher,Samantha,Montgomery,M,1715-09-03,South Valerie,American Samoa,1739-07-25,South Nicole,Niue
Michael,Susan,Medina,F,1763-04-26,South Ronald,American Samoa,1898-06-27,Victorialand,Malawi
Todd,Jason,Turner,F,1755-05-08,Port Dawnfort,Guernsey,1762-03-05,South Frankhaven,Belize
James,Diana,Peterson,M,1756-12-31,Taylorport,Colombia,1895-06-23,Heidihaven,Guernsey
Paul,Ashley,Melton,M,1673-09-24,Lake Ambershire,Seychelles,1722-12-05,Ronaldmouth,New Caledonia
Mitchell,Theresa,Ferrell,F,1712-09-21,Longshire,Iraq,1775-04-10,Christensenhaven,Mongolia
Alvin,Amy,Watson,M,1767-08-24,Tyronemouth,Cape Verde,1889-06-28,Gordonton,Luxembourg
Clinton,Jennifer,Gutierrez,M,1711-04-16,West Michaelside,Costa Rica,1813-03-11,Lake Alexandrafurt,Sri Lanka
Jose,Sharon,Rose,F,1707-03-25,Heidiburgh,Poland,1732-05-20,West Jessica,Seychelles
Paul,Jonathan,Herrera,F,1728-11-14,Benjaminside,Congo,1814-03-23,North Cody,Oman
Kevin,Jack,Lin,F,1760-12-22,Hernandeztown,Jordan,1819-11-12,Lake Jaclyn,Greece
Alexander,Lisa,Obrien,M,1726-02-23,Rogerchester,New Caledonia,1749-11-29,Gilmoreville,Switzerland
Don,Sarah,Dominguez,M,1697-10-18,East Christine,Norfolk Island,1771-04-18,Robertside,Uzbekistan
Todd,Angela,Lin,M,1693-04-30,South Travisberg,Belgium,1826-07-19,Port Pamelaland,Kenya
Jonathan,Cynthia,King,F,1680-06-15,East Cynthiafort,Morocco,1828-09-20,Jeremyville,Sri Lanka
Aaron,Kristina,Pittman,F,1770-11-04,Christineland,Romania,1779-01-30,Tammybury,Ireland
Henry,Harry,Morris,M,1745-07-09,Paulstad,Hungary,1854-03-28,Smithfurt,Zambia
Paul,Brittany,Woods,F,1687-03-04,South Lucas,Bhutan,1828-12-22,South Kristenstad,Algeria
Dakota,Tina,Bryant,M,1691-12-12,Johnsonport,Timor-Leste,1812-11-22,Collinsborough,Afghanistan
Timothy,Julie,Patel,F,1732-05-03,Tracyfurt,Djibouti,1877-11-14,Tiffanyburgh,Korea
Anthony,Michael,Klein,F,1764-10-05,South Bill,Reunion,1899-06-21,Reynoldsberg,Oman
Christopher,Sarah,Barnett,F,1717-11-16,Maxwellberg,Cyprus,1803-03-25,Masonshire,Western Sahara
Kevin,Richard,Johnson,M,1767-06-07,Turnerchester,Belgium,1818-09-15,Port Desiree,Cape Verde
Anthony,Karen,Mccarty,M,1740-10-23,Paulville,Congo,1855-09-27,Jamesmouth,Singapore
Derek,Edwin,Nguyen,M,1731-06-08,Juliemouth,Morocco,1745-01-29,Port Danielle,Palestinian Territory
Andrew,William,Kerr,M,1721-12-15,North Patricia,Georgia,1737-07-12,Brucebury,Trinidad and Tobago
Edwin,Phillip,Wagner,F,1699-07-05,Mikebury,Maldives,1797-08-15,Nicholaston,United Kingdom
Shane,Erin,Ray,M,1724-12-28,West Katherine,Morocco,1762-01-03,East Daniel,United States Virgin Islands
Sean,Holly,Torres,F,1741-11-08,Rushbury,Micronesia,1761-08-28,South Danielchester,Montserrat
Gerald,Amy,Richardson,M,1725-01-24,New Damon,Taiwan,1865-02-15,Port Lisa,Papua New Guinea
Roger,Brian,Bell,F,1676-10-24,Timothychester,Turkmenistan,1722-06-25,West Joann,Bhutan
William,Matthew,Walker,M,1682-07-05,Loribury,India,1792-04-17,North Melissa,Chad
Larry,Brittany,Martin,F,1688-06-21,Port Travisbury,New Caledonia,1691-09-28,Cooleyberg,Mexico
William,Collin,Howard,F,1763-04-25,South Jenniferbury,Gibraltar,1806-05-18,Tonybury,Qatar
James,Megan,Vargas,F,1722-10-08,Port Donaldburgh,Chad,1862-04-27,Kyliemouth,China
John,Rebecca,Buchanan,M,1751-08-18,Leeborough,Jersey,1866-03-27,Nicolemouth,Grenada
Jonathan,Thomas,Andrews,F,1736-12-07,East Stacy,Switzerland,1847-02-07,Clarkehaven,Oman
Dennis,Richard,Harris,M,1710-11-19,Changmouth,Antarctica (the territory South of 60 deg S),1742-01-24,Phyllisport,Niue
Rodney,Grace,Mendoza,F,1683-11-06,Danielmouth,Nicaragua,1730-03-30,Lake Taylor,Cuba
James,Caleb,Brooks,F,1693-10-18,Hudsonshire,Papua New Guinea,1829-05-04,Belltown,Mozambique
Jesse,Brian,Reid,M,1755-01-25,Christopherstad,Tokelau,1819-08-17,Durhamborough,Iran
William,Michael,Wolfe,M,1719-06-13,East Christineside,United States Virgin Islands,1863-01-02,North David,Anguilla
Michael,Christian,Clark,F,1726-12-16,Joshuamouth,Cook Islands,1848-05-26,Port Douglasfurt,Micronesia
Danny,Barbara,Ware,F,1731-11-06,South Robertborough,Kenya,1820-05-05,North Frank,Tanzania
David,Patrick,Edwards,M,1727-05-01,Melaniefurt,Romania,1861-08-15,New Caitlyn,Lebanon
Steven,Christina,Vazquez,F,1771-01-15,Cameronchester,Djibouti,1825-12-01,South Kelly,Liechtenstein
Michael,Aaron,Fox,M,1735-06-24,Melendezfort,Jersey,1865-08-31,New Chad,Estonia
Patrick,Carlos,Young,M,1697-07-03,Hartport,Liberia,1709-02-17,New Robert,Vietnam
Jim,Lauren,Washington,M,1732-09-11,Lawsonside,Senegal,1854-04-09,Buchananview,Reunion
Ralph,Denise,Stewart,F,1677-04-28,Middletonbury,Italy,1751-10-24,West Dominiquefurt,Cuba
Jim,Ryan,Garcia,F,1700-11-29,Tracyville,Panama,1846-09-23,Lake Benjamin,Luxembourg
Keith,Derrick,Kirby,F,1740-09-05,Lake Kimberly,France,1793-05-21,Wheelerton,Saint Martin
Joshua,Lisa,Hill,M,1687-12-10,Toddview,Congo,1823-01-19,South Jenniferberg,Germany
Curtis,Molly,Perez,F,1700-04-26,Carlsonstad,Costa Rica,1706-05-31,Johnstonmouth,Mexico
Austin,Emily,Sandoval,F,1723-07-20,Millerfurt,Eritrea,1834-10-05,Lake Vickichester,Czech Republic
Michael,April,Hebert,M,1674-11-04,Shannonchester,Macao,1810-02-01,West Denisetown,Mozambique
Logan,Joseph,Thomas,F,1736-01-31,Mccormickmouth,Tokelau,1804-03-20,Port Phillip,Georgia
Thomas,Amy,Williams,F,1738-09-07,Hubbardshire,Kuwait,1747-08-12,Tannerchester,Mexico
Joseph,James,Brown,M,1701-10-24,Port Marco,Ghana,1763-02-16,East Jamesfurt,Moldova
Luis,Manuel,Bush,M,1711-01-20,Emilyhaven,Northern Mariana Islands,1787-12-18,East Brianland,Fiji
Brian,Melissa,Swanson,M,1699-10-24,North Edgar,Pakistan,1737-05-21,North Samuelbury,Gambia
Jason,Dana,Perry,M,1708-04-25,South Lindsay,American Samoa,1837-10-20,North Kathryn,Panama
Robert,Curtis,Jackson,M,1691-11-16,West Billyburgh,Estonia,1718-04-01,West Dustinberg,Switzerland
Adam,Kyle,Ferguson,M,1693-03-15,Port Teresashire,Peru,1834-04-20,Sarahchester,British Indian Ocean Territory (Chagos Archipelago)
Jesse,Rachel,Fitzgerald,M,1755-09-20,Port Aaron,Mali,1855-10-19,East Royshire,Anguilla
Alexander,Melanie,Pearson,M,1758-05-17,Carloston,Macao,1907-02-19,New Brandon,Austria
Dennis,Melissa,Skinner,M,1738-06-05,South Sharon,Christmas Island,1888-02-29,Rushmouth,Mayotte
Jason,Christy,Allen,M,1717-07-09,West Alexis,Iran,1775-07-04,Lake Matthewchester,Maldives
Alex,Lauren,White,F,1708-02-16,Waltontown,Costa Rica,1716-05-19,Irwinmouth,Ireland
Kevin,Wendy,Mccullough,M,1700-10-22,Port Madison,Grenada,1746-11-13,West Robert,Taiwan
James,Tracey,Flores,M,1742-05-30,West Dennis,Tokelau,1773-10-29,Navarrobury,Aruba
Christopher,Zachary,Brown,F,1707-12-31,Claytonside,Comoros,1734-10-13,South Jeanneborough,Falkland Islands (Malvinas)
Jeffery,Rebecca,Martinez,M,1773-09-07,Mcgeeside,Slovakia (Slovak Republic),1830-08-18,Pearsonfurt,Lesotho
Thomas,Lisa,Rose,F,1745-10-12,Lynchshire,Palau,1788-11-19,Lake Josephshire,Palau
Brandon,Kenneth,Hampton,F,1750-11-29,Hernandezview,Lebanon,1874-08-03,South Kelly,Lebanon
John,Robert,Wright,F,1750-01-11,New Sean,San Marino,1769-10-20,Ericville,Thailand
Samuel,Lucas,Watson,M,1705-08-07,Lake Anthonyburgh,Timor-Leste,1735-11-05,Bernardton,Turkmenistan
Frederick,Sandra,Salinas,F,1714-12-27,East Mario,Greece,1746-11-05,East Rhonda,Argentina
Dustin,Lori,White,M,1716-11-08,Tinaberg,United States of America,1852-07-07,South Nicholas,Reunion
Robert,Jasmine,Murphy,F,1693-12-06,Peterhaven,Malta,1822-01-24,North Kevinview,Yemen
Michael,Jennifer,Fitzgerald,M,1744-12-31,Joshuaburgh,Samoa,1788-02-13,Port Sarah,Jamaica
Jose,Vicki,Smith,F,1749-08-14,West Jack,United States Virgin Islands,1769-11-12,Ashleyport,Angola
Adam,Laura,Payne,F,1713-10-30,Port Michelletown,Iceland,1816-09-01,North Tyler,Chile
Benjamin,Shawn,Johnson,F,1691-01-30,South Kylieport,Venezuela,1802-02-12,Lake Justinview,Tokelau
Nathaniel,Robert,May,M,1733-12-29,Millsburgh,Greenland,1773-12-19,East Luke,Maldives
Christian,Melissa,Freeman,M,1691-02-20,South Meghan,Sweden,1747-03-10,North Paul,Cyprus
Samuel,Gwendolyn,Thompson,F,1726-09-28,South Josephstad,Latvia,1857-10-28,South Rickyside,Grenada
Wyatt,David,Watts,M,1730-05-26,New Candiceburgh,Saint Martin,1855-08-02,New Kenneth,Mali
Clifford,Jessica,Hill,F,1750-11-07,Lake Crystalberg,Montserrat,1873-10-02,Kathleenhaven,Nigeria
Walter,Stanley,King,F,1697-04-08,South Daniel,Seychelles,1815-12-20,New Shane,Marshall Islands
Troy,Jamie,Wiggins,M,1694-06-19,Roblesmouth,Zimbabwe,1792-08-28,East Bethany,Tonga
Chris,Rebecca,Hernandez,F,1749-02-23,Christinaton,Colombia,1872-03-01,Billyside,Argentina
Brandon,Destiny,Best,F,1756-06-21,Heatherton,Saint Vincent and the Grenadines,1773-12-24,Hansenport,Comoros
Christopher,Robin,Mosley,F,1739-08-11,Townsendbury,Saudi Arabia,1754-08-29,North Jeremy,Netherlands Antilles
Steven,Christine,Parsons,F,1771-10-08,Oconnorshire,Malawi,1883-07-24,East Jessica,Svalbard & Jan Mayen Islands
Reginald,Michael,Yang,F,1720-08-20,Bradleyshire,American Samoa,1819-12-20,North Noah,Sudan
Gary,Carla,Ball,M,1744-08-19,Thomasside,Martinique,1783-07-04,South Dakota,Greece
Ryan,James,Webster,M,1716-06-23,Carrieside,North Macedonia,1823-11-19,Hilltown,Malawi
Jeffrey,Joan,Sanchez,M,1726-05-19,Port Elizabethton,Hong Kong,1761-01-28,South Michael,United States Virgin Islands
Christopher,Jonathan,Peterson,F,1736-01-10,West April,Gabon,1808-01-05,Lake Bernardbury,Holy See (Vatican City State)
Christopher,Joyce,Cross,F,1693-07-20,South John,Saudi Arabia,1822-10-26,West Kaylaborough,Comoros
Robert,Joseph,Pittman,F,1677-01-10,Phillipsburgh,Peru,1777-02-19,Markburgh,Congo
Christopher,Jacob,Brooks,F,1746-08-21,Maryville,Cocos (Keeling) Islands,1871-02-17,Ponceville,Botswana
Carlos,Manuel,Cooper,F,1753-10-19,Hayesfort,Aruba,1816-05-04,South Joshuafort,Guinea-Bissau
Thomas,Brianna,Collins,F,1707-12-02,East Luke,Pitcairn Islands,1844-04-13,New Janice,Brunei Darussalam
Juan,Aaron,Robinson,M,1698-01-29,West Emily,Saint Vincent and the Grenadines,1746-03-29,Monicaburgh,French Guiana
Jeffrey,Brittany,Calhoun,F,1696-12-19,Michelefort,China,1827-08-16,New Lisa,Saint Martin
James,Scott,Hunter,M,1675-11-10,Escobarberg,Saint Lucia,1710-11-03,Websterside,Egypt
Trevor,Cindy,Griffin,F,1706-12-04,New Kendra,Togo,1843-12-18,Johnstonberg,Kiribati
Jordan,John,Young,F,1681-11-24,Castillostad,Saudi Arabia,1797-07-09,North Nicole,Japan
Adam,Eric,Jackson,F,1744-08-30,Lake Angelafurt,Mauritania,1799-10-06,Waltonfort,Macao
Shane,Scott,Johnson,F,1750-10-11,Whitefurt,Lebanon,1811-07-20,Thomasberg,Equatorial Guinea
Joe,Lee,Gonzales,M,1735-10-27,Pateltown,Papua New Guinea,1803-10-29,Moorechester,Uruguay
Alan,Andrew,Anthony,F,1734-08-24,Michaelville,Slovenia,1831-08-10,Port Heatherberg,Japan
Sean,Chad,Williams,F,1761-07-28,Jameston,Canada,1817-07-24,Rodriguezmouth,Brazil
Jonathan,Kristopher,Richardson,F,1692-04-24,West Andrea,Palau,1820-10-06,Brittanyberg,United Kingdom
Brandon,Haley,Mahoney,M,1706-08-10,Brandonstad,Uganda,1768-04-07,West Nicholasport,Niger
Edwin,Thomas,Mcintyre,M,1759-06-20,South Tammy,Ukraine,1797-08-07,Port Kelsey,Qatar
Christopher,Theresa,Williams,F,1685-07-17,South Aaronview,Colombia,1782-06-19,Kimberlyfurt,Liechtenstein
Gary,Amanda,Howe,M,1685-09-20,Berryborough,Macao,1696-10-08,East Jacobchester,Thailand
Chad,Sheila,Anderson,F,1705-04-14,West Jameston,Burundi,1764-12-29,Lake Brittany,Brazil
Timothy,Amanda,Johnson,M,1706-06-29,Pollardfort,Thailand,1718-05-20,Davishaven,Equatorial Guinea
Nicholas,Ryan,Alexander,F,1726-01-10,Sharonberg,Tuvalu,1775-01-07,North Joel,Kuwait
John,Mark,Johnson,M,1702-05-01,South Brittany,San Marino,1751-01-04,Woodsmouth,Wallis and Futuna
Richard,Elizabeth,Acevedo,M,1688-07-27,Carlton,Dominica,1748-04-17,Port Kevinhaven,Monaco
Mark,Alfred,Johnson,F,1674-02-18,Millermouth,American Samoa,1737-05-20,Barrettbury,Nicaragua
Jeffrey,Jennifer,Fletcher,M,1769-04-19,Scottview,Nepal,1917-07-22,Teresaview,Bouvet Island (Bouvetoya)
Jerry,Andrea,Rosario,M,1705-10-24,New Tinaland,Antigua and Barbuda,1706-04-18,North Lisa,Bahrain
John,Krystal,Wilkinson,M,1749-08-07,Simpsonville,United States Minor Outlying Islands,1811-05-15,East Marvin,Botswana
Allen,Antonio,Hatfield,F,1707-11-26,Lisaland,Switzerland,1841-03-17,New Megan,Bangladesh
Brian,April,Anderson,M,1701-01-23,Williamsburgh,United Kingdom,1704-02-13,South Samantha,Svalbard & Jan Mayen Islands
Scott,Kenneth,Washington,F,1679-07-18,Longtown,Falkland Islands (Malvinas),1818-01-12,Port David,Sierra Leone
Ricky,Tyler,Meyers,M,1766-07-22,North Autumn,Sudan,1783-04-22,New Angelaside,Saint Martin
Alexis,Andrea,Farley,M,1720-11-13,South Mariashire,Rwanda,1824-02-18,Port Justinland,Poland
James,Brittany,Hunter,F,1724-06-10,Kevinport,Turkey,1789-11-05,Montoyaborough,Romania
Richard,Mary,Proctor,F,1677-06-28,Craigchester,Saint Pierre and Miquelon,1751-07-30,North Gregorystad,Chad
Douglas,Melanie,Williams,M,1685-03-19,Lauriestad,Gabon,1686-03-12,Murphyland,Turkey
Dennis,Rachael,Rodriguez,M,1748-07-09,Howardton,United States Virgin Islands,1824-03-13,New Stevenbury,Guadeloupe
Ryan,Paula,Wallace,F,1706-08-16,Josephborough,Nauru,1791-05-02,Scottmouth,Saudi Arabia
Stephen,Tracy,Mathis,M,1728-02-09,West Dustin,Saint Lucia,1728-05-12,Port Jacksonchester,Svalbard & Jan Mayen Islands
Joel,Cheryl,Francis,F,1755-08-01,West Matthewport,United Kingdom,1843-09-20,Macdonaldport,Namibia
Charles,Cameron,Robertson,F,1686-08-10,Lake Jordanburgh,Cameroon,1806-10-28,East Sherri,Morocco
Brandon,Brianna,Smith,M,1747-12-15,Lake Andrew,Congo,1843-06-24,New Brenttown,Sweden
William,Kristi,Davis,M,1715-08-14,North Debraport,United States of America,1720-06-25,Smithberg,Turks and Caicos Islands
Robert,Tracy,Adams,F,1695-01-26,Lake Richardview,Cuba,1800-08-10,Bryantview,Guatemala
Michael,Jessica,Johnson,F,1676-01-13,Douglasshire,Albania,1754-01-20,South Jon,Afghanistan
Robert,Christine,Blackburn,F,1694-02-04,West Kimberlyhaven,Tuvalu,1799-06-06,Howardfort,Kenya
Jason,Haley,Ramsey,M,1760-11-11,East Hunterview,Mayotte,1806-09-22,Colliermouth,South Africa
Matthew,Wanda,Owens,F,1759-08-16,Christopherfurt,Guam,1795-02-04,Brendaside,Vietnam
Timothy,Jacqueline,Esparza,M,1715-02-06,Jessicaview,Antigua and Barbuda,1864-12-09,Smithchester,Liechtenstein
Timothy,Adam,Graham,F,1773-12-26,North Jenniferburgh,Hong Kong,1851-10-27,Perezborough,Canada
Lawrence,Christopher,Carroll,F,1686-03-14,Wangfort,Vietnam,1818-11-26,Maryport,New Caledonia
David,Jeffrey,Romero,F,1740-03-04,Bridgesside,El Salvador,1743-10-14,East Pamelachester,Guernsey
Howard,Margaret,Mills,M,1764-03-01,Baileyville,Madagascar,1787-11-12,Christophermouth,Albania
Steven,Julie,Garcia,F,1744-06-21,Christopherstad,Bouvet Island (Bouvetoya),1822-02-12,New Vincentburgh,Anguilla
Benjamin,Julia,Wallace,F,1721-07-21,Harrisside,Zambia,1764-01-16,Port Ashley,Falkland Islands (Malvinas)
Derek,William,Salas,M,1710-09-21,South Robertport,Aruba,1798-12-11,North Dakotafort,Northern Mariana Islands
Timothy,Brandy,Campbell,F,1759-08-30,Robertburgh,Latvia,1904-12-25,New Robert,Haiti
